Date,Strike price,Close,Expiration
2018-03-13,10000,64.25,44
2018-03-14,10000,60.55,43
2018-03-15,10000,66.05,42
2018-03-16,10000,100.15,41
2018-03-19,10000,129.3,38
2018-03-20,10000,120.5,37
2018-03-21,10000,102.65,36
2018-03-22,10000,118.15,35
2018-03-23,10000,157.1,34
2018-03-26,10000,104.3,31
2018-03-27,10000,93.95,30
2018-03-28,10000,113.9,29
2018-04-02,10000,68.65,24
2018-04-03,10000,59.9,23
2018-04-04,10000,100.95,22
2018-04-05,10000,42.65,21
2018-04-06,10000,40.5,20
2018-04-09,10000,30.2,17
2018-04-10,10000,24.3,16
2018-04-11,10000,23.3,15
2018-04-12,10000,18.35,14
2018-04-13,10000,13.35,13
2018-04-16,10000,9.1,10
2018-04-17,10000,6.5,9
2018-04-18,10000,6.15,8
2018-04-19,10000,4.75,7
2018-04-20,10000,2.1,6
2018-04-23,10000,1.6,3
2018-04-24,10000,1.3,2
2018-04-25,10000,0.55,1
2018-04-26,10000,0.05,0
2018-03-21,10050,118.0,36
2018-03-22,10050,132.7,35
2018-03-23,10050,179.95,34
2018-03-26,10050,119.6,31
2018-03-27,10050,104.25,30
2018-03-28,10050,127.9,29
2018-04-02,10050,80.45,24
2018-04-03,10050,71.2,23
2018-04-04,10050,117.9,22
2018-04-05,10050,50.3,21
2018-04-06,10050,47.35,20
2018-04-09,10050,35.7,17
2018-04-10,10050,28.55,16
2018-04-11,10050,27.55,15
2018-04-12,10050,21.5,14
2018-04-13,10050,15.25,13
2018-04-16,10050,10.1,10
2018-04-17,10050,7.65,9
2018-04-18,10050,7.25,8
2018-04-19,10050,5.2,7
2018-04-20,10050,2.25,6
2018-04-23,10050,1.6,3
2018-04-24,10050,1.2,2
2018-04-25,10050,0.35,1
2018-04-26,10050,0.05,0
2018-03-13,10100,81.9,44
2018-03-14,10100,76.6,43
2018-03-15,10100,85.15,42
2018-03-16,10100,128.4,41
2018-03-19,10100,164.6,38
2018-03-20,10100,154.8,37
2018-03-21,10100,133.0,36
2018-03-22,10100,151.5,35
2018-03-23,10100,201.9,34
2018-03-26,10100,136.7,31
2018-03-27,10100,121.5,30
2018-03-28,10100,147.85,29
2018-04-02,10100,92.75,24
2018-04-03,10100,82.8,23
2018-04-04,10100,135.85,22
2018-04-05,10100,58.9,21
2018-04-06,10100,56.1,20
2018-04-09,10100,42.7,17
2018-04-10,10100,33.65,16
2018-04-11,10100,32.6,15
2018-04-12,10100,26.0,14
2018-04-13,10100,18.2,13
2018-04-16,10100,12.3,10
2018-04-17,10100,8.85,9
2018-04-18,10100,8.55,8
2018-04-19,10100,5.9,7
2018-04-20,10100,2.25,6
2018-04-23,10100,1.75,3
2018-04-24,10100,1.4,2
2018-04-25,10100,0.6,1
2018-04-26,10100,0.05,0
2018-03-13,10150,96.5,44
2018-03-15,10150,92.0,42
2018-03-22,10150,92.5,35
2018-03-23,10150,222.1,34
2018-03-26,10150,154.15,31
2018-03-27,10150,137.3,30
2018-03-28,10150,165.75,29
2018-04-02,10150,107.05,24
2018-04-03,10150,97.3,23
2018-04-04,10150,157.1,22
2018-04-05,10150,69.55,21
2018-04-06,10150,65.9,20
2018-04-09,10150,51.4,17
2018-04-10,10150,40.9,16
2018-04-11,10150,39.6,15
2018-04-12,10150,31.35,14
2018-04-13,10150,21.65,13
2018-04-16,10150,14.1,10
2018-04-17,10150,10.3,9
2018-04-18,10150,9.95,8
2018-04-19,10150,6.9,7
2018-04-20,10150,2.6,6
2018-04-23,10150,2.0,3
2018-04-24,10150,1.55,2
2018-04-25,10150,0.65,1
2018-04-26,10150,0.05,0
2018-03-13,10200,103.5,44
2018-03-14,10200,97.05,43
2018-03-15,10200,109.35,42
2018-03-16,10200,162.75,41
2018-03-19,10200,210.45,38
2018-03-20,10200,193.1,37
2018-03-21,10200,169.0,36
2018-03-22,10200,192.9,35
2018-03-23,10200,256.8,34
2018-03-26,10200,174.9,31
2018-03-27,10200,156.65,30
2018-03-28,10200,188.7,29
2018-04-02,10200,123.35,24
2018-04-03,10200,112.3,23
2018-04-04,10200,180.0,22
2018-04-05,10200,81.6,21
2018-04-06,10200,77.25,20
2018-04-09,10200,60.65,17
2018-04-10,10200,48.65,16
2018-04-11,10200,47.05,15
2018-04-12,10200,37.6,14
2018-04-13,10200,26.3,13
2018-04-16,10200,17.0,10
2018-04-17,10200,12.45,9
2018-04-18,10200,12.3,8
2018-04-19,10200,8.45,7
2018-04-20,10200,3.05,6
2018-04-23,10200,2.1,3
2018-04-24,10200,1.6,2
2018-04-25,10200,0.6,1
2018-04-26,10200,0.05,0
2018-03-22,10250,167.0,35
2018-03-26,10250,244.6,31
2018-03-27,10250,180.55,30
2018-03-28,10250,218.45,29
2018-04-02,10250,144.45,24
2018-04-03,10250,130.7,23
2018-04-04,10250,205.0,22
2018-04-05,10250,95.5,21
2018-04-06,10250,91.75,20
2018-04-09,10250,72.6,17
2018-04-10,10250,59.1,16
2018-04-11,10250,57.35,15
2018-04-12,10250,46.05,14
2018-04-13,10250,32.4,13
2018-04-16,10250,20.65,10
2018-04-17,10250,15.35,9
2018-04-18,10250,15.65,8
2018-04-19,10250,10.1,7
2018-04-20,10250,4.0,6
2018-04-23,10250,2.55,3
2018-04-24,10250,1.95,2
2018-04-25,10250,0.8,1
2018-04-26,10250,0.05,0
2018-03-13,10300,128.5,44
2018-03-14,10300,122.6,43
2018-03-15,10300,137.75,42
2018-03-16,10300,204.8,41
2018-03-19,10300,260.65,38
2018-03-20,10300,243.35,37
2018-03-21,10300,216.15,36
2018-03-22,10300,245.35,35
2018-03-23,10300,319.85,34
2018-03-26,10300,226.95,31
2018-03-27,10300,200.3,30
2018-03-28,10300,241.0,29
2018-04-02,10300,163.35,24
2018-04-03,10300,150.8,23
2018-04-04,10300,234.45,22
2018-04-05,10300,112.3,21
2018-04-06,10300,106.95,20
2018-04-09,10300,86.75,17
2018-04-10,10300,71.05,16
2018-04-11,10300,69.05,15
2018-04-12,10300,55.75,14
2018-04-13,10300,40.85,13
2018-04-16,10300,25.7,10
2018-04-17,10300,19.65,9
2018-04-18,10300,20.25,8
2018-04-19,10300,13.2,7
2018-04-20,10300,5.6,6
2018-04-23,10300,3.7,3
2018-04-24,10300,2.5,2
2018-04-25,10300,1.35,1
2018-04-26,10300,0.05,0
2018-03-28,10350,274.9,29
2018-04-02,10350,184.75,24
2018-04-03,10350,172.7,23
2018-04-04,10350,263.35,22
2018-04-05,10350,131.15,21
2018-04-06,10350,125.95,20
2018-04-09,10350,104.15,17
2018-04-10,10350,86.3,16
2018-04-11,10350,83.55,15
2018-04-12,10350,67.75,14
2018-04-13,10350,50.7,13
2018-04-16,10350,32.25,10
2018-04-17,10350,24.9,9
2018-04-18,10350,26.05,8
2018-04-19,10350,16.7,7
2018-04-20,10350,7.65,6
2018-04-23,10350,5.45,3
2018-04-24,10350,3.0,2
2018-04-25,10350,1.65,1
2018-04-26,10350,0.05,0
2018-03-13,10400,160.45,44
2018-03-14,10400,155.0,43
2018-03-15,10400,174.55,42
2018-03-16,10400,257.0,41
2018-03-19,10400,321.7,38
2018-03-20,10400,299.15,37
2018-03-21,10400,269.45,36
2018-03-22,10400,306.8,35
2018-03-23,10400,395.15,34
2018-03-26,10400,287.5,31
2018-03-27,10400,259.0,30
2018-03-28,10400,299.7,29
2018-04-02,10400,215.15,24
2018-04-03,10400,200.35,23
2018-04-04,10400,299.4,22
2018-04-05,10400,153.85,21
2018-04-06,10400,147.4,20
2018-04-09,10400,123.6,17
2018-04-10,10400,103.95,16
2018-04-11,10400,100.7,15
2018-04-12,10400,81.9,14
2018-04-13,10400,63.1,13
2018-04-16,10400,40.35,10
2018-04-17,10400,33.0,9
2018-04-18,10400,34.1,8
2018-04-19,10400,22.4,7
2018-04-20,10400,11.6,6
2018-04-23,10400,8.3,3
2018-04-24,10400,4.0,2
2018-04-25,10400,2.65,1
